"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration30_chunksize10240.csv",,,,"Date:","26 Dec 2018 21:46:59 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
44.518,10.356,32.592,11.723,0.0,0.811,1267605.117,41596977.880
84.158,13.861,0.0,0.0,0.0,1.980,0.0,115298304.0
90.099,8.911,0.0,0.0,0.0,0.990,0.0,117497856.0
68.687,23.232,0.0,7.071,0.0,1.010,0.0,112467968.0
70.0,29.0,0.0,0.0,0.0,1.0,0.0,113262592.0
66.0,33.0,0.0,0.0,0.0,1.0,4096.0,106954752.0
79.0,20.0,0.0,0.0,0.0,1.0,0.0,113246208.0
68.0,30.0,0.0,0.0,0.0,2.0,0.0,118226944.0
73.0,26.0,0.0,0.0,0.0,1.0,0.0,109060096.0
68.317,28.713,0.0,1.980,0.0,0.990,0.0,113246208.0
69.697,25.253,0.0,3.030,0.0,2.020,4096.0,105381888.0
73.267,20.792,0.0,4.950,0.0,0.990,24576.0,93065216.0
69.388,21.429,0.0,7.143,0.0,2.041,0.0,111149056.0
56.863,37.255,0.0,3.922,0.0,1.961,4096.0,102686720.0
64.0,33.0,0.0,1.0,0.0,2.0,0.0,109268992.0
76.0,23.0,0.0,0.0,0.0,1.0,0.0,115343360.0
78.0,19.0,0.0,0.0,0.0,3.0,0.0,111022080.0
73.0,25.0,0.0,1.0,0.0,1.0,0.0,117448704.0
79.798,19.192,0.0,0.0,0.0,1.010,86016.0,110362624.0
72.0,25.0,0.0,0.0,0.0,3.0,372736.0,82579456.0
