"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration10_chunksize51200.csv",,,,"Date:","26 Dec 2018 21:43:21 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
35.618,6.998,43.207,13.590,0.0,0.588,1676429.621,21179055.551
82.178,17.822,0.0,0.0,0.0,0.0,0.0,184320.0
93.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
86.139,12.871,0.0,0.0,0.0,0.990,0.0,0.0
81.818,18.182,0.0,0.0,0.0,0.0,0.0,0.0
80.0,20.0,0.0,0.0,0.0,0.0,4096.0,0.0
79.208,19.802,0.0,0.0,0.0,0.990,4096.0,98828288.0
75.758,22.222,0.0,0.0,0.0,2.020,4096.0,113246208.0
71.0,28.0,0.0,0.0,0.0,1.0,8192.0,110366720.0
77.228,20.792,0.0,0.0,0.0,1.980,4096.0,122421248.0
81.0,17.0,0.0,0.0,0.0,2.0,4096.0,115347456.0
80.808,17.172,0.0,0.0,0.0,2.020,4096.0,115347456.0
82.0,16.0,0.0,0.0,0.0,2.0,0.0,120848384.0
85.0,13.0,0.0,0.0,0.0,2.0,4096.0,118235136.0
85.0,14.0,0.0,0.0,0.0,1.0,4096.0,117444608.0
84.0,14.0,0.0,0.0,0.0,2.0,4096.0,121634816.0
85.149,13.861,0.0,0.0,0.0,0.990,4096.0,113254400.0
85.859,13.131,0.0,0.0,0.0,1.010,4096.0,119537664.0
82.0,17.0,0.0,0.0,0.0,1.0,4096.0,112467968.0
88.119,10.891,0.0,0.0,0.0,0.990,4096.0,122421248.0
