"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration40_chunksize768.csv",,,,"Date:","26 Dec 2018 21:47:59 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
46.273,11.168,30.508,11.202,0.0,0.850,1188120.422,45978153.051
83.0,16.0,0.0,0.0,0.0,1.0,0.0,111042560.0
88.0,5.0,0.0,6.0,0.0,1.0,0.0,112590848.0
67.0,30.0,0.0,2.0,0.0,1.0,0.0,111026176.0
70.0,27.0,0.0,0.0,0.0,3.0,0.0,105783296.0
79.0,21.0,0.0,0.0,0.0,0.0,0.0,109580288.0
61.0,24.0,0.0,14.0,0.0,1.0,0.0,112721920.0
70.0,21.0,0.0,8.0,0.0,1.0,4096.0,97935360.0
75.758,23.232,0.0,1.010,0.0,0.0,0.0,112599040.0
73.267,26.733,0.0,0.0,0.0,0.0,0.0,109846528.0
76.0,23.0,0.0,0.0,0.0,1.0,0.0,109051904.0
59.0,41.0,0.0,0.0,0.0,0.0,0.0,104931328.0
72.0,27.0,0.0,0.0,0.0,1.0,0.0,110362624.0
74.0,24.0,0.0,0.0,0.0,2.0,0.0,101560320.0
77.0,22.0,0.0,0.0,0.0,1.0,0.0,125829120.0
69.0,27.0,0.0,1.0,0.0,3.0,0.0,109056000.0
69.307,25.743,0.0,0.0,0.0,4.950,0.0,104861696.0
70.0,25.0,0.0,4.0,0.0,1.0,0.0,113246208.0
68.687,26.263,0.0,3.030,0.0,2.020,0.0,109060096.0
76.768,23.232,0.0,0.0,0.0,0.0,0.0,119537664.0
