"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration20_chunksize20480.csv",,,,"Date:","26 Dec 2018 21:45:18 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
41.111,8.823,36.792,12.572,0.0,0.701,1428106.757,32636784.785
85.859,12.121,0.0,0.0,0.0,2.020,4096.0,100589568.0
90.909,6.061,0.0,2.020,0.0,1.010,4096.0,114663424.0
66.337,21.782,0.0,10.891,0.0,0.990,4096.0,117514240.0
65.0,31.0,0.0,2.0,0.0,2.0,8192.0,98521088.0
66.0,31.0,0.0,1.0,0.0,2.0,4096.0,112459776.0
76.238,22.772,0.0,0.0,0.0,0.990,4096.0,114032640.0
74.747,24.242,0.0,0.0,0.0,1.010,4096.0,111157248.0
75.0,23.0,0.0,0.0,0.0,2.0,4096.0,114032640.0
72.0,26.0,0.0,0.0,0.0,2.0,126976.0,111149056.0
73.0,24.0,0.0,2.0,0.0,1.0,0.0,110366720.0
74.257,23.762,0.0,0.0,0.0,1.980,4096.0,114561024.0
70.707,27.273,0.0,1.010,0.0,1.010,4096.0,111149056.0
60.0,38.0,0.0,0.0,0.0,2.0,0.0,110632960.0
69.307,28.713,0.0,0.0,0.0,1.980,4096.0,107921408.0
76.768,23.232,0.0,0.0,0.0,0.0,0.0,108019712.0
72.0,26.0,0.0,0.0,0.0,2.0,4096.0,109117440.0
75.0,24.0,0.0,0.0,0.0,1.0,4096.0,113250304.0
69.307,27.723,0.0,0.990,0.0,1.980,4096.0,115347456.0
70.707,23.232,0.0,4.040,0.0,2.020,4096.0,116662272.0
