"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration10_chunksize768.csv",,,,"Date:","26 Dec 2018 21:41:04 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
26.887,4.924,54.322,13.435,0.0,0.431,2045728.278,5274706.464
87.0,13.0,0.0,0.0,0.0,0.0,0.0,139264.0
90.196,8.824,0.0,0.0,0.0,0.980,180224.0,0.0
87.879,12.121,0.0,0.0,0.0,0.0,0.0,0.0
73.737,24.242,0.0,0.0,0.0,2.020,0.0,0.0
74.257,24.752,0.0,0.0,0.0,0.990,0.0,0.0
71.717,25.253,0.0,0.0,0.0,3.030,4096.0,84189184.0
68.317,30.693,0.0,0.0,0.0,0.990,4096.0,114556928.0
70.0,29.0,0.0,0.0,0.0,1.0,4096.0,117444608.0
78.0,20.0,0.0,0.0,0.0,2.0,4096.0,124518400.0
77.0,21.0,0.0,0.0,0.0,2.0,4096.0,115347456.0
76.0,22.0,0.0,0.0,0.0,2.0,4096.0,114561024.0
84.848,14.141,0.0,0.0,0.0,1.010,0.0,120324096.0
72.0,26.0,0.0,0.0,0.0,2.0,12288.0,115351552.0
75.0,23.0,0.0,0.0,0.0,2.0,118784.0,98566144.0
78.0,20.0,0.0,0.0,0.0,2.0,638976.0,90193920.0
74.0,25.0,0.0,0.0,0.0,1.0,385024.0,98566144.0
75.0,24.0,0.0,0.0,0.0,1.0,393216.0,83894272.0
77.228,21.782,0.0,0.0,0.0,0.990,397312.0,108265472.0
75.758,23.232,0.0,0.0,0.0,1.010,4096.0,113311744.0
77.0,21.0,0.0,0.0,0.0,2.0,327680.0,96468992.0


"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration10_chunksize768.csv",,,,"Date:","26 Dec 2018 21:59:31 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
47.251,9.019,34.983,7.998,0.0,0.750,791079.781,37017241.420
78.218,21.782,0.0,0.0,0.0,0.0,0.0,106496.0
68.317,15.842,15.842,0.0,0.0,0.0,0.0,0.0
67.677,32.323,0.0,0.0,0.0,0.0,0.0,0.0
66.337,31.683,0.0,0.0,0.0,1.980,0.0,0.0
71.0,29.0,0.0,0.0,0.0,0.0,0.0,7688192.0
69.697,28.283,0.0,0.0,0.0,2.020,0.0,105771008.0
65.347,27.723,0.0,0.0,0.0,6.931,0.0,119537664.0
69.697,27.273,0.0,0.0,0.0,3.030,0.0,116658176.0
69.0,29.0,0.0,0.0,0.0,2.0,0.0,116129792.0
75.0,24.0,0.0,0.0,0.0,1.0,0.0,119541760.0
68.0,32.0,0.0,0.0,0.0,0.0,0.0,117444608.0
73.267,24.752,0.0,0.990,0.0,0.990,0.0,121634816.0
71.0,27.0,0.0,0.0,0.0,2.0,0.0,115347456.0
74.0,24.0,0.0,0.0,0.0,2.0,0.0,104869888.0
77.0,21.0,0.0,0.0,0.0,2.0,0.0,115343360.0
67.0,31.0,0.0,0.0,0.0,2.0,0.0,119537664.0
73.737,23.232,0.0,2.020,0.0,1.010,0.0,118755328.0
76.0,15.0,0.0,8.0,0.0,1.0,4096.0,116129792.0
19.802,7.921,0.0,71.287,0.0,0.990,0.0,104083456.0
6.061,8.081,0.0,83.838,0.0,2.020,135168.0,115343360.0
17.0,5.0,0.0,76.0,0.0,2.0,0.0,112009216.0
2.0,2.0,0.0,93.0,0.0,3.0,0.0,119537664.0
17.0,2.0,0.0,79.0,0.0,2.0,0.0,108269568.0
3.960,1.980,0.0,93.069,0.0,0.990,0.0,107945984.0
7.071,1.010,86.869,5.051,0.0,0.0,0.0,24576.0
20.0,2.0,78.0,0.0,0.0,0.0,0.0,0.0
20.0,6.0,74.0,0.0,0.0,0.0,0.0,0.0
22.772,4.950,53.465,17.822,0.0,0.990,0.0,31457280.0
7.0,4.0,0.0,87.0,0.0,2.0,0.0,115347456.0
28.0,6.0,0.0,64.0,0.0,2.0,8192.0,109248512.0
12.121,2.020,0.0,84.848,0.0,1.010,0.0,118751232.0
28.0,7.0,0.0,63.0,0.0,2.0,0.0,117440512.0
13.0,3.0,0.0,81.0,0.0,3.0,0.0,92114944.0
2.020,1.010,55.556,41.414,0.0,0.0,0.0,602112.0
36.634,4.950,57.426,0.0,0.0,0.990,0.0,0.0
24.242,2.020,73.737,0.0,0.0,0.0,0.0,0.0
20.792,2.970,75.248,0.0,0.0,0.990,0.0,0.0
25.0,3.0,71.0,0.0,0.0,1.0,0.0,0.0
19.0,3.0,78.0,0.0,0.0,0.0,0.0,53248.0
34.0,8.0,43.0,14.0,0.0,1.0,1089536.0,0.0
