"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration30_chunksize20480.csv",,,,"Date:","26 Dec 2018 21:47:19 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
45.146,10.670,31.864,11.496,0.0,0.824,1240594.341,43069926.085
84.0,15.0,0.0,0.0,0.0,1.0,327680.0,87965696.0
93.0,5.0,0.0,1.0,0.0,1.0,0.0,120979456.0
80.0,19.0,0.0,0.0,0.0,1.0,0.0,118882304.0
77.0,21.0,0.0,0.0,0.0,2.0,0.0,115859456.0
75.758,18.182,0.0,4.040,0.0,2.020,0.0,105926656.0
60.396,21.782,0.0,14.851,0.0,2.970,0.0,115335168.0
74.0,14.0,0.0,9.0,0.0,3.0,0.0,117329920.0
63.636,18.182,0.0,18.182,0.0,0.0,0.0,111153152.0
65.347,14.851,0.0,16.832,0.0,2.970,0.0,102772736.0
69.697,12.121,0.0,18.182,0.0,0.0,0.0,113246208.0
56.0,17.0,0.0,26.0,0.0,1.0,4096.0,106958848.0
59.406,29.703,0.0,8.911,0.0,1.980,0.0,109338624.0
66.0,32.0,0.0,1.0,0.0,1.0,0.0,98586624.0
79.208,19.802,0.0,0.0,0.0,0.990,0.0,123842560.0
71.429,24.490,0.0,2.041,0.0,2.041,0.0,110374912.0
74.257,21.782,0.0,1.980,0.0,1.980,0.0,120217600.0
74.0,24.0,0.0,0.0,0.0,2.0,0.0,117440512.0
71.0,26.0,0.0,1.0,0.0,2.0,0.0,111157248.0
75.0,22.0,0.0,1.0,0.0,2.0,0.0,115343360.0
