"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration20_chunksize1024.csv",,,,"Date:","26 Dec 2018 21:44:17 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
38.482,7.496,39.864,13.527,0.0,0.632,1546924.203,26774390.410
85.0,15.0,0.0,0.0,0.0,0.0,0.0,73728.0
92.079,7.921,0.0,0.0,0.0,0.0,0.0,0.0
89.899,10.101,0.0,0.0,0.0,0.0,0.0,0.0
73.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
77.778,22.222,0.0,0.0,0.0,0.0,0.0,0.0
75.0,25.0,0.0,0.0,0.0,0.0,0.0,70664192.0
72.277,25.743,0.0,0.0,0.0,1.980,8192.0,109961216.0
64.646,34.343,0.0,0.0,0.0,1.010,4096.0,117444608.0
75.0,24.0,0.0,0.0,0.0,1.0,4096.0,115347456.0
76.0,23.0,0.0,0.0,0.0,1.0,4096.0,115343360.0
74.0,23.0,0.0,0.0,0.0,3.0,0.0,113250304.0
70.297,26.733,0.0,0.0,0.0,2.970,8192.0,119537664.0
72.727,24.242,0.0,0.0,0.0,3.030,4096.0,113254400.0
75.0,23.0,0.0,0.0,0.0,2.0,4096.0,113250304.0
76.238,20.792,0.0,0.0,0.0,2.970,4096.0,120848384.0
74.0,23.0,0.0,0.0,0.0,3.0,4096.0,116133888.0
71.0,26.0,0.0,0.0,0.0,3.0,4096.0,117444608.0
69.0,27.0,0.0,0.0,0.0,4.0,4096.0,117440512.0
75.0,23.0,0.0,0.0,0.0,2.0,0.0,111157248.0
