"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration10_chunksize10240.csv",,,,"Date:","26 Dec 2018 21:42:32 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
32.644,6.197,46.623,14.008,0.0,0.528,1799780.911,15929411.826
74.0,8.0,0.0,17.0,0.0,1.0,5079040.0,0.0
77.778,13.131,0.0,9.091,0.0,0.0,602112.0,167936.0
90.099,9.901,0.0,0.0,0.0,0.0,0.0,0.0
84.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0
76.238,21.782,0.0,0.0,0.0,1.980,0.0,0.0
81.818,18.182,0.0,0.0,0.0,0.0,4096.0,7753728.0
75.0,25.0,0.0,0.0,0.0,0.0,4096.0,101597184.0
77.0,22.0,0.0,0.0,0.0,1.0,8192.0,121634816.0
75.248,23.762,0.0,0.0,0.0,0.990,0.0,117444608.0
78.788,19.192,0.0,0.0,0.0,2.020,4096.0,119537664.0
77.228,20.792,0.0,0.0,0.0,1.980,4096.0,115347456.0
82.828,16.162,0.0,0.0,0.0,1.010,4096.0,114561024.0
86.0,13.0,0.0,0.0,0.0,1.0,4096.0,120324096.0
81.188,17.822,0.0,0.0,0.0,0.990,4096.0,118759424.0
86.869,12.121,0.0,0.0,0.0,1.010,4096.0,111939584.0
82.0,15.0,0.0,0.0,0.0,3.0,0.0,116654080.0
83.0,15.0,0.0,0.0,0.0,2.0,4096.0,111943680.0
83.0,15.0,0.0,0.0,0.0,2.0,4096.0,117448704.0
83.0,15.0,0.0,0.0,0.0,2.0,4096.0,121634816.0
