"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration40_chunksize51200.csv",,,,"Date:","26 Dec 2018 21:49:40 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
48.767,12.186,27.574,10.559,0.0,0.914,1073853.533,52139861.679
81.188,17.822,0.0,0.0,0.0,0.990,0.0,105701376.0
92.0,8.0,0.0,0.0,0.0,0.0,0.0,117551104.0
76.531,16.327,0.0,6.122,0.0,1.020,0.0,108146688.0
76.238,21.782,0.0,0.0,0.0,1.980,0.0,114425856.0
76.0,22.0,0.0,2.0,0.0,0.0,0.0,113508352.0
78.0,16.0,0.0,5.0,0.0,1.0,0.0,117313536.0
66.667,16.162,0.0,15.152,0.0,2.020,0.0,113250304.0
72.277,12.871,0.0,10.891,0.0,3.960,0.0,101896192.0
62.0,15.0,0.0,21.0,0.0,2.0,0.0,110710784.0
69.0,16.0,0.0,14.0,0.0,1.0,0.0,114556928.0
70.0,17.0,0.0,12.0,0.0,1.0,0.0,115343360.0
59.0,34.0,0.0,5.0,0.0,2.0,0.0,115343360.0
74.257,20.792,0.0,3.960,0.0,0.990,0.0,104157184.0
72.0,26.0,0.0,1.0,0.0,1.0,0.0,111239168.0
74.747,21.212,0.0,3.030,0.0,1.010,0.0,113262592.0
72.0,27.0,0.0,0.0,0.0,1.0,0.0,116658176.0
70.0,25.0,0.0,3.0,0.0,2.0,0.0,120324096.0
75.0,23.0,0.0,0.0,0.0,2.0,0.0,111157248.0
68.0,29.0,0.0,2.0,0.0,1.0,0.0,116658176.0
