"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration20_chunksize51200.csv",,,,"Date:","26 Dec 2018 21:45:38 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
41.901,9.216,35.872,12.290,0.0,0.721,1392611.366,34613973.002
82.0,18.0,0.0,0.0,0.0,0.0,0.0,103993344.0
92.079,5.941,0.0,0.0,0.0,1.980,0.0,120225792.0
58.0,16.0,0.0,26.0,0.0,0.0,0.0,111370240.0
62.0,25.0,0.0,11.0,0.0,2.0,12288.0,102248448.0
63.0,31.0,0.0,0.0,0.0,6.0,8192.0,106958848.0
65.0,33.0,0.0,0.0,0.0,2.0,4096.0,111935488.0
77.0,18.0,0.0,4.0,0.0,1.0,4096.0,111153152.0
71.0,15.0,0.0,12.0,0.0,2.0,4096.0,109576192.0
70.707,18.182,0.0,10.101,0.0,1.010,0.0,119013376.0
52.475,24.752,0.0,20.792,0.0,1.980,4096.0,115867648.0
60.396,31.683,0.0,7.921,0.0,0.0,0.0,114958336.0
69.0,18.0,0.0,11.0,0.0,2.0,4096.0,104640512.0
62.0,17.0,0.0,19.0,0.0,2.0,4096.0,113119232.0
73.0,15.0,0.0,10.0,0.0,2.0,0.0,109072384.0
61.616,17.172,0.0,19.192,0.0,2.020,4096.0,110370816.0
67.0,19.0,0.0,12.0,0.0,2.0,4096.0,120324096.0
61.386,18.812,0.0,17.822,0.0,1.980,4096.0,115347456.0
65.0,14.0,0.0,18.0,0.0,3.0,4096.0,115347456.0
70.707,14.141,0.0,13.131,0.0,2.020,4096.0,117440512.0
